,household_key,age_45_plus,income_50K_plus,single_couple_family,has_kids,single,couple,r_score,f_score,m_score,rfm_score,rfm_bins,alcohol,beverages,concessions,dairy,drug,garden,grain_goods,grocery,home_family,junk_food,kitchen,meat,misc,produce,seasonal,total_sales
117,350,1,1,3,1,0,0,5,3,3,11,3,71.68,71.2,123.25,70.22,41.61,15.17,125.14999999999999,115.97,239.26,255.66,0.99,408.62,161.82,217.24,0.0,1917.8400000000001
118,351,1,1,1,0,1,0,5,5,5,15,5,76.47,254.53,598.08,545.02,66.17,0.0,519.14,159.25,2059.31,525.05,7.01,1735.63,340.56,588.61,5.98,7480.8099999999995
119,353,1,1,2,0,0,1,4,4,4,12,3,98.87,134.02,69.45,237.87,69.79,2.49,481.62,259.87,270.49,439.71,4.28,793.66,349.85,584.0600000000001,3.17,3799.2
120,354,0,0,3,1,0,0,5,5,5,15,5,339.46,464.04,141.24,507.96,309.99,19.950000000000003,534.99,625.36,1576.84,1360.27,3.99,1571.19,486.46,483.52,8.36,8433.62
121,358,0,1,2,0,0,1,5,5,5,15,5,877.4,442.78000000000003,298.22,888.72,167.01000000000002,31.990000000000002,1394.71,528.35,1795.65,2181.36,71.06,1976.0,784.18,1042.06,84.05,12563.539999999999
122,361,1,1,1,0,1,0,5,5,5,15,5,85.67,278.94,150.2,712.05,155.63,12.58,850.74,237.2,1084.52,816.76,8.08,1748.56,466.78000000000003,795.64,25.900000000000002,7429.249999999998
123,362,1,1,1,0,1,0,5,3,3,11,3,279.33,194.61,73.43,136.52,142.87,0.0,276.45,92.03,171.74,226.10000000000002,4.37,382.53000000000003,173.96,285.48,0.0,2439.4199999999996
124,367,1,1,2,0,0,1,5,4,5,14,4,28.96,302.37,210.48,527.15,223.71,8.49,586.01,368.93,743.36,1558.58,0.99,919.62,328.71,654.95,19.99,6482.299999999999
125,370,1,1,2,0,0,1,2,4,3,9,3,116.85000000000001,85.12,29.849999999999998,198.77,65.0,3.59,302.22,59.97,112.69,244.98000000000002,7.88,539.99,153.07999999999998,305.62,3.74,2229.35
126,371,0,1,3,1,0,0,4,5,5,14,4,419.78000000000003,1077.65,333.65,1297.17,237.09,10.620000000000001,1053.53,520.85,2189.53,1518.4,29.84,3053.23,954.9300000000001,1817.92,8.47,14522.66
127,377,1,1,2,0,0,1,5,4,4,13,4,0.0,214.43,17.39,349.61,22.25,0.0,598.63,133.48,117.8,112.47,0.0,715.55,319.77,540.05,0.0,3141.4299999999994
128,378,1,1,2,0,1,0,5,5,4,14,4,1798.72,111.58,76.84,156.95,127.61,19.96,123.52,231.64000000000001,489.03000000000003,242.15,4.49,286.3,177.52,279.35,19.98,4145.639999999999
129,381,0,0,2,1,0,0,4,3,3,10,3,252.39000000000001,113.05,75.5,284.65,71.04,5.78,160.73,84.57000000000001,422.96,176.02,10.98,372.33,143.88,185.1,77.67999999999999,2436.6599999999994
130,383,1,1,1,0,1,0,4,4,5,13,4,9.68,202.2,28.95,753.5600000000001,175.15,9.99,349.26,478.07,279.51,838.74,0.0,690.3100000000001,169.8,785.4,0.0,4770.62
131,385,0,1,3,1,0,0,5,2,4,11,3,419.83,109.64,8.27,282.79,58.400000000000006,0.0,203.76,81.49,92.13,179.64,0.0,659.29,130.61,397.01,0.74,2623.5999999999995
